Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,5
Environmental Tolerance,Shade Tolerance,2
Environmental Tolerance,Flood Tolerance,2
Environmental Tolerance,Low Fertility Tolerance,3
Environmental Tolerance,Salinity Tolerance,1
Growth,Winter Survival,Expected
Growth,Active Growth Period,Spring and Summer and Fall
Growth,Duration,Perennial
Growth,Growing Window,Very Long
Growth,Ease of Establishment,2
Cover Crop Type,,Legume
Environmental Tolerance,Heat Tolerance,5
Seeds,Seed Price per Pound,3
Beneficials,Supports Mycorrhizae,3
Growth,Early Spring Growth,4
Growth,Establishes Quickly,3
Roots,Root Architecture,Tap and Fibrous
Roots,Root Depth,Deep
Termination Methods,Tillage Termination at Vegetative,5
Termination Methods,Tillage Termination at Flowering,5
Termination Methods,Freezing Termination at Vegetative,1
Termination Methods,Chemical Termination at Flowering,5
Termination Methods,Mow Termination at Flowering,2
Termination Methods,Chemical Termination at Vegetative,5
Termination Methods,Roller Crimp Tolerance at Flowering,1
Weeds,Volunteer Establishment,2
Weeds,Persistence,3
Disease & Non Weed Pests,Disoucrages Nematodes,4
Disease & Non Weed Pests,Promotes Nematodes,1
Disease & Non Weed Pests,Discourages Pest Insects,4
Disease & Non Weed Pests,Promotes Pest Insects,1
Disease & Non Weed Pests,Suppresses Cash Crop Disease,1
Disease & Non Weed Pests,Promotes Cash Crop Disease,3
